2011-06-19 18:54:40 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:40 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:40 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:40 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:41 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:42 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:42 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:54:46 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:29 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:29 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:35 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:35 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:35 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:55:35 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 19:43:50 Notice: Notice (8): Undefined index:  image_path in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/index.ctp, line 63]
2011-06-19 19:51:06 Notice: Notice (8): Undefined index:  image_path in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/admin_index.ctp, line 63]
2011-06-19 19:57:00 Notice: Notice (8): Undefined index:  image_path in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/admin_index.ctp, line 63]
2011-06-19 20:07:47 Notice: Notice (8): Undefined property: View::$Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 9]
2011-06-19 20:08:03 Notice: Notice (8): Undefined property: View::$Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:08:18 Notice: Notice (8): Undefined property: View::$products in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:08:18 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:08:24 Notice: Notice (8): Undefined property: View::$viewvars in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:08:24 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:09:03 Notice: Notice (8): Undefined property: View::$products in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 20:09:14 Notice: Notice (8): Undefined property: View::$products in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 5]
2011-06-19 20:09:14 Notice: Notice (8): Undefined property: View::$products in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 7]
2011-06-19 20:09:19 Notice: Notice (8): Undefined property: View::$products in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 7]
