2011-06-19 22:19:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 12]
2011-06-19 22:20:04 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 12]
2011-06-19 22:20:09 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 12]
2011-08-23 22:52:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smscanada/www/app/controllers/products_controller.php:50) in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/controller/controller.php, line 691]
2011-08-23 22:52:14 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smscanada/www/app/controllers/products_controller.php:50) in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/controller/controller.php, line 691]
2011-08-23 22:52:37 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smscanada/www/app/controllers/products_controller.php:50) in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/controller/controller.php, line 691]
2011-08-23 22:52:42 Warning: Warning (2): Missing argument 1 for ProductsController::add(), called in /Applications/MAMP/htdocs/smscanada/www/cake/libs/object.php on line 123 and defined in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/products_controller.php, line 42]
2011-08-23 22:52:59 Warning: Warning (2): Missing argument 1 for ProductsController::add(), called in /Applications/MAMP/htdocs/smscanada/www/cake/libs/object.php on line 123 and defined in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/products_controller.php, line 42]
2011-08-23 23:08:45 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'valiates' at line 1</span> in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/datasources/dbo_source.php, line 549]
2011-08-23 23:08:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/smscanada/www/cake/libs/debugger.php:671) in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/controller/controller.php, line 691]
